AID Class FRENCH GERMAN LATIN SPANISH BOOK COMPUTER DEBATE DRAMA FUTURE HISTORY MATH SCIENCE BAND CHEER CHORUS ORCHESTRA OTHER BASE BASKETBALL FIELD FOOTBALL ICE SOCCER SWIMMING TENNIS TRACK VOLLEYBALL WRESTLING OTHER NEWSPAPER HONOR STUDENT YEARBOOK AH_PVT REACH3 age grade male PovertyPct CollegePct ReligiousPct MedianIncome w1drinkfrq w1drinkfive w1drunk w2drinkfrq w2drinkfive w2drunk w2anyalc w2alcoutsidefam pardrinkfrq pardrinkfive religionimp tobacco cycling sports hangout w1anyalc w1alcoutsidefam w1numdrinks w2numdrinks w1alcprobfrnd w2alcprobfrnd hourstv troublefocus momwarm momcommunicate dadwarm dadcommunicate familyunderstnd closetomom closetodad momdiscethic familyfun momtalk momdiscprob momargue momshop momsport mommovie gotochurch close_school part_school happy_school frndactiv gpa schoolfit white black hispanic centrality localdensity prestige w1psych w2psych w1alctrt w2alctrt clubs cesd
93715938 126 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 87 14 14 8 0 0.216836735 0.240760296 0.555 20332 1 0 0 0 0 0 1 0 1 1 1 1 1 0 2 1 0 1 0 0 0 7 2 1 1 4 3 3 5 4 2 2 1 0 1 1 0 0 1 2 2 2 8 2.5 2 0 0 1 0.194703971 0.4 0.359382778 0 1 0 0 4 1.894736842
93715939 126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 104 1 13 7 1 0.062015504 0.24248927 0.555 31597 4 3 5 99 99 99 99 99 2 1 1 1 3 3 3 1 1 12 99 3 99 21 1 1 1 1 2 4 5 5 1 4 0 0 0 1 0 0 1 2 1 2 14 1.5 1.666666667 1 0 0 0.096621349 0.274725275 0.398208064 0 99 0 99 5 0.368421053
95715930 126 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 94 32 13 7 0 0.021857924 0.159776536 0.555 30183 0 0 0 0 0 0 0 0 2 1 1 1 0 1 3 0 0 0 0 0 0 35 1 1 2 3 3 4 5 3 2 3 1 1 1 0 0 1 1 2 2 3 7 2.25 2.333333333 0 1 0 1.182902354 0.305555556 0.34669868 0 1 0 0 3 0.52631579
95715931 126 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 94 99 14 7 1 0.047619048 0.253757737 0.555 26221 0 0 0 0 0 0 0 0 1 1 1 0 0 2 2 0 0 0 0 0 0 25 1 1 1 3 3 4 5 3 1 5 0 0 0 0 0 0 1 2 1 1 7 2.75 1.333333333 1 0 0 99 99 99 0 0 0 0 99 0.315789474
95715932 126 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 1 0 1 1 108 27 13 8 1 0.021857924 0.159776536 0.555 30183 0 0 0 0 0 0 0 0 1 1 1 0 1 3 1 0 0 0 0 0 0 34 1 2 2 2 2 3 5 5 3 5 0 0 0 0 0 1 1 3 4 5 10 1.75 4 1 0 0 0.698748252 0.35 0.151125065 0 0 0 0 9 0.368421053
95715933 126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 107 28 14 8 1 0 0.1003861 0.555 33779.15 1 1 1 1 0 0 1 1 3 2 1 1 0 1 3 1 1 8 5 0 0 10 1 1 1 3 3 4 5 3 2 4 1 1 1 1 0 1 1 2 2 1 7 1.25 1.666666667 0 1 1 1.277312165 0.371794872 0.334879406 0 0 0 0 2 1.052631579
95715934 126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 103 33 14 8 1 0.321637427 0.065168539 0.555 14402 0 0 0 99 99 99 99 99 1 1 2 0 0 3 0 0 0 0 99 0 99 7 0 1 1 1 1 5 5 5 2 5 0 0 0 1 0 0 2 2 2 1 5 2 1.666666667 0 0 0 1.478466485 0.523809524 0.272864701 0 99 0 99 1 0
95715935 126 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 94 31 13 8 0 0.021857924 0.159776536 0.555 30183 0 0 0 0 0 0 0 0 3 1 2 0 0 3 3 0 0 0 0 0 0 35 0 2 2 1 1 4 5 5 2 4 1 0 0 1 0 0 2 2 2 2 9 2.25 2 1 0 0 1.159689562 0.452380952 0.256255546 0 0 0 0 4 0.473684211
95715936 126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 1 0 0 1 0 0 0 104 33 14 8 1 0.494791667 0 0.555 15214 0 0 0 2 2 2 1 1 3 2 1 1 2 2 3 0 0 0 10 0 0 15 1 1 2 3 3 2 5 3 1 4 0 1 1 0 1 0 2 1 1 4 11 2.75 2 0 0 1 1.452242517 0.33974359 0.338728595 1 0 0 0 6 0.473684211
95715937 126 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 124 99 14 8 0 0.051813472 0.516339869 0.555 64290 0 0 0 0 0 0 0 0 1 1 1 0 0 3 2 0 0 0 0 0 0 9 2 1 2 1 2 4 5 5 2 5 0 1 0 0 1 0 1 1 1 1 10 1 1 1 0 0 99 99 99 0 0 0 0 99 0.368421053
